X;Y;Det1;Det1_err;Det2;Det2_err;Coinc;Coinc_err;Ratio1;Ratio2
5;-1;3947;62,8251542;3857;62,10475022;3246;56,97367813;1,023334198;0,977197872
5;-3;4282;65,4369926;4238;65,0999232;3532;59,43063183;1,010382256;0,989724428
5;-3;4282;65,4369926;4238;65,0999232;3532;59,43063183;1,010382256;0,989724428
5;-5;4159;64,49030935;4470;66,8580586;3601;60,00833275;0,930425056;1,074777591
5;-5;4159;64,49030935;4470;66,8580586;3601;60,00833275;0,930425056;1,074777591
5;-7;4090;63,95310782;4523;67,25325271;3605;60,04165221;0,904267079;1,105867971
5;-7;4090;63,95310782;4523;67,25325271;3605;60,04165221;0,904267079;1,105867971
5;-7;4090;63,95310782;4523;67,25325271;3605;60,04165221;0,904267079;1,105867971
5;-9;2993;54,70831747;2440;49,39635614;2171;46,59399103;1,226639344;0,81523555
5;-9;2993;54,70831747;2440;49,39635614;2171;46,59399103;1,226639344;0,81523555
5;-9;2993;54,70831747;2440;49,39635614;2171;46,59399103;1,226639344;0,81523555

6;1;3326;57,67148342;3087;55,56077753;2622;51,20546846;1,077421445;0,928141912
6;1;3326;57,67148342;3087;55,56077753;2622;51,20546846;1,077421445;0,928141912
6;1;3326;57,67148342;3087;55,56077753;2622;51,20546846;1,077421445;0,928141912
6;1;3326;57,67148342;3087;55,56077753;2622;51,20546846;1,077421445;0,928141912
6;1;3326;57,67148342;3087;55,56077753;2622;51,20546846;1,077421445;0,928141912
6;1;3326;57,67148342;3087;55,56077753;2622;51,20546846;1,077421445;0,928141912
6;1;3326;57,67148342;3087;55,56077753;2622;51,20546846;1,077421445;0,928141912
6;1;3326;57,67148342;3087;55,56077753;2622;51,20546846;1,077421445;0,928141912
6;0;2989;54,67174773;2737;52,31634544;2304;48;1,092071611;0,915690867
6;0;2989;54,67174773;2737;52,31634544;2304;48;1,092071611;0,915690867
6;0;2989;54,67174773;2737;52,31634544;2304;48;1,092071611;0,915690867
6;0;2989;54,67174773;2737;52,31634544;2304;48;1,092071611;0,915690867
6;0;2989;54,67174773;2737;52,31634544;2304;48;1,092071611;0,915690867
6;0;2989;54,67174773;2737;52,31634544;2304;48;1,092071611;0,915690867
6;0;2989;54,67174773;2737;52,31634544;2304;48;1,092071611;0,915690867
6;0;2989;54,67174773;2737;52,31634544;2304;48;1,092071611;0,915690867
6;-1;3014;54,89990893;2870;53,57238094;2383;48,81598099;1,050174216;0,95222296
6;-1;3014;54,89990893;2870;53,57238094;2383;48,81598099;1,050174216;0,95222296
6;-1;3014;54,89990893;2870;53,57238094;2383;48,81598099;1,050174216;0,95222296
6;-1;3014;54,89990893;2870;53,57238094;2383;48,81598099;1,050174216;0,95222296
6;-1;3014;54,89990893;2870;53,57238094;2383;48,81598099;1,050174216;0,95222296
6;-1;3014;54,89990893;2870;53,57238094;2383;48,81598099;1,050174216;0,95222296
6;-1;3014;54,89990893;2870;53,57238094;2383;48,81598099;1,050174216;0,95222296
6;-1;3014;54,89990893;2870;53,57238094;2383;48,81598099;1,050174216;0,95222296
